event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-09-24 11:57:06 UTC,view,1996170,2144415922528452715,electronics.telephone,,31.9,1515915625519388267,LJuJVLEjPT
2020-09-24 11:57:26 UTC,view,139905,2144415926932472027,computers.components.cooler,zalman,17.16,1515915625519380411,tdicluNnRY
2020-09-24 11:57:27 UTC,view,215454,2144415927158964449,,,9.81,1515915625513238515,4TMArHtXQy
2020-09-24 11:57:33 UTC,view,635807,2144415923107266682,computers.peripherals.printer,pantum,113.81,1515915625519014356,aGFYrNgC08
2020-09-24 11:57:36 UTC,view,3658723,2144415921169498184,,cameronsino,15.87,1515915625510743344,aa4mmk0kwQ
2020-09-24 11:57:59 UTC,view,664325,2144415951611757447,construction.tools.saw,carver,52.33,1515915625519388062,vnkdP81DDW
2020-09-24 11:58:23 UTC,view,3791349,2144415935086199225,computers.desktop,,215.41,1515915625519388877,J1t6sIYXiV
2020-09-24 11:58:24 UTC,view,716611,2144415923694469257,computers.network.router,d-link,53.14,1515915625519388882,kVBeYDPcBw
2020-09-24 11:58:25 UTC,view,657859,2144415939431498289,,,34.17,1515915625519320570,HEl15U7JVy
2020-09-24 11:58:31 UTC,view,716611,2144415923694469257,computers.network.router,d-link,53.14,1515915625519388929,F3VB9LYp39
2020-09-24 11:58:34 UTC,view,811491,2144415926370435276,,ritmix,33.32,1515915625356205647,aFLc6y9kn4
2020-09-24 11:58:54 UTC,view,811491,2144415926370435276,,ritmix,33.32,1515915625356205647,aFLc6y9kn4
2020-09-24 11:59:26 UTC,view,337116,2144415921505042512,,,14.6,1515915625519388117,ENxC0kqyAa
2020-09-24 12:00:00 UTC,view,1080093,2144415923107266682,computers.peripherals.printer,ricoh,268.17,1515915625519389483,63xjTFC54g
2020-09-24 12:00:01 UTC,view,1455459,2144415927049912542,electronics.video.tv,sony,635.63,1515915625519385419,sF2S2yMO09
2020-09-24 12:00:10 UTC,view,3537266,2144415923207929981,auto.accessories.player,kenwood,92.0,1515915625519389538,FwLEmI1E0K
2020-09-24 12:00:16 UTC,view,3830537,2144415921169498184,,cameronsino,18.1,1515915625519389572,Hsjky2QXGx
2020-09-24 12:00:33 UTC,view,523117,2144415924491387038,computers.components.motherboard,asrock,73.81,1515915625519334445,HycmCUvnFr
2020-09-24 12:00:36 UTC,view,3830671,2144415929440665888,,pocketbook,24.29,1515915625519389712,brgASCNTJs
2020-09-24 12:00:37 UTC,view,10914,2144415925053423789,electronics.camera.video,sony,40.95,1515915625519389726,kYKAorW97d
2020-09-24 12:00:39 UTC,view,1021484,2144415944976368325,,,202.98,1515915625519389101,fO4BG6BTMi
2020-09-24 12:00:53 UTC,view,1926,2144415921169498184,,,13.33,1515915625519387465,Vyr7Td3cen
2020-09-24 12:00:57 UTC,view,1642942,2144415948256314150,computers.peripherals.keyboard,,40.76,1515915625519389873,0r39Gl2v0C
2020-09-24 12:00:59 UTC,view,3829275,2144415926370435276,,blast,29.89,1515915625356205647,aFLc6y9kn4
2020-09-24 12:01:01 UTC,view,315366,2144415924382335131,,,16.03,1515915625507214919,aoKZ49LzpD
2020-09-24 12:01:01 UTC,view,1021484,2144415944976368325,,,202.98,1515915625519389101,fO4BG6BTMi
2020-09-24 12:01:07 UTC,view,1356542,2144415927553229037,,patriot,122.57,1515915625519388953,tqYmDbhgHs
2020-09-24 12:01:11 UTC,view,144417,2144415923535085701,,hynix,13.76,1515915625519389935,dd6M8ipy1u
2020-09-24 12:01:13 UTC,view,3506345,2144415939431498289,,fit,11.4,1515915625519320570,HEl15U7JVy
2020-09-24 12:01:18 UTC,view,1399998,2144415921169498184,,,11.75,1515915625519389998,qQ5lSpmUM3
2020-09-24 12:01:33 UTC,view,888783,2144415922167742561,computers.components.hdd,,83.02,1515915625519356010,3jFpdbozOd
2020-09-24 12:01:37 UTC,view,261923,2144415922939494519,,panasonic,37.75,1515915625519388006,17S2LXOG91
2020-09-24 12:02:12 UTC,view,337116,2144415921505042512,,,14.6,1515915625519388117,ENxC0kqyAa
2020-09-24 12:02:19 UTC,view,3828758,2144415975410238005,electronics.audio.acoustic,eva,21.59,1515915625519390366,F71OG8wWVP
2020-09-24 12:02:34 UTC,view,1507291,2144415926806642904,computers.components.power_supply,supermicro,217.57,1515915625519390468,UzabYgCPva
2020-09-24 12:02:39 UTC,view,3536864,2144415935732122060,,sirius,47.14,1515915625519382571,Ve8a3LzDoI
2020-09-24 12:02:44 UTC,view,347850,2144415929331613981,appliances.steam_cleaner,rowenta,268.11,1515915625519389855,rzbjp1wpzi
2020-09-24 12:02:53 UTC,cart,1507291,2144415926806642904,computers.components.power_supply,supermicro,217.57,1515915625519390468,UzabYgCPva
2020-09-24 12:02:54 UTC,view,758525,2144415923493142660,electronics.telephone,,1.57,1515915625519384255,4xoRmrunYk
2020-09-24 12:02:58 UTC,view,136700,2144415924491387038,computers.components.motherboard,asrock,77.73,1515915625507410730,hHIiHDGdPw
2020-09-24 12:03:01 UTC,view,3661285,2144415927049912542,electronics.video.tv,lg,810.68,1515915625470774320,HMot99bSay
2020-09-24 12:03:12 UTC,view,481930,2144415921505042512,,,10.05,1515915625519390638,FXDcqt0MuR
2020-09-24 12:03:17 UTC,view,1507291,2144415926806642904,computers.components.power_supply,supermicro,217.57,1515915625519390468,xn6SHCnZtk
2020-09-24 12:03:37 UTC,view,4101820,2144415933727244688,computers.peripherals.printer,ricoh,107.05,1515915625508483528,DQ79YJiIcZ
2020-09-24 12:03:37 UTC,view,758525,2144415923493142660,electronics.telephone,,1.57,1515915625519391008,7EXOvzUS35
2020-09-24 12:04:10 UTC,purchase,1507291,2144415926806642904,computers.components.power_supply,supermicro,217.57,1515915625519390468,xn6SHCnZtk
2020-09-24 12:04:15 UTC,view,3149184,2144415921421156430,electronics.telephone,flexis,6.97,1515915625519391247,t5aw8VKVBj
2020-09-24 12:05:06 UTC,view,3536864,2144415935732122060,,sirius,47.14,1515915625519382571,Ve8a3LzDoI
2020-09-24 12:05:17 UTC,view,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625400993933,5jcEkwRby1
2020-09-24 12:05:19 UTC,view,261923,2144415922939494519,,panasonic,37.75,1515915625519388006,17S2LXOG91
2020-09-24 12:05:46 UTC,view,677289,2144415934800986545,construction.tools.welding,fubag,101.67,1515915625519390362,XMasDVSlJ4
2020-09-24 12:06:34 UTC,view,3536864,2144415935732122060,,sirius,47.14,1515915625519382571,Ve8a3LzDoI
2020-09-24 12:06:37 UTC,view,1417423,2144415936336101853,electronics.telephone,sirius,9.21,1515915625512189330,hbCbCVCiiR
2020-09-24 12:06:48 UTC,view,661128,2144415925732901052,appliances.kitchen.juicer,,63.92,1515915625519341967,TTK47Aa942
2020-09-24 12:07:08 UTC,view,13327,2144415925086978222,computers.peripherals.scanner,epson,164.33,1515915625519386397,2E7pEIPj9N
2020-09-24 12:07:26 UTC,view,657859,2144415939431498289,,,34.17,1515915625519320570,HEl15U7JVy
2020-09-24 12:07:35 UTC,view,740421,2144415929331613981,appliances.steam_cleaner,vlk,62.62,1515915625519389855,rzbjp1wpzi
2020-09-24 12:07:55 UTC,view,136700,2144415924491387038,computers.components.motherboard,asrock,77.73,1515915625519392459,0KdrxeTB4x
2020-09-24 12:08:21 UTC,view,748877,2144415935698567627,,,163.43,1515915625519392600,YaPfZwn4qG
2020-09-24 12:08:24 UTC,cart,136700,2144415924491387038,computers.components.motherboard,asrock,77.73,1515915625519392459,0KdrxeTB4x
2020-09-24 12:08:41 UTC,view,136700,2144415924491387038,computers.components.motherboard,asrock,77.73,1515915625519392459,0KdrxeTB4x
2020-09-24 12:08:46 UTC,view,3830671,2144415929440665888,,pocketbook,24.29,1515915625519392741,t5qyDiK2PZ
